169086.city,mISABELA,ISABELA
177460.fname,Crine,Carine
128277.phone,732-6854,732-8654
60993.lname,Mllett,Mallett
173025.fname,Linhiu,Linhui
5489.areacode,702.0,404
74187.maritalstatus,***,M
154668.haschild,***,N
84436.city,WET GROVE,WEST GROVE
135413.fname,Rayeman,Rayman
58571.gender,***,F
26335.fname,Mihlail,Mihail
107354.fname,Lunyd,Lundy
4103.zip,89140.0,5070
147872.haschild,zY,Y
140147.maritalstatus,,M
42886.haschild,,N
34542.statevalue,K,AK
56034.gender,***,M
166298.maritalstatus,***,M
166137.fname,Venkatr,Venkatar
71857.gender,***,M
164963.city,HARRIySON VALLEY,HARRISON VALLEY
94593.city,SULLVIAN,SULLIVAN
187435.lname,aHshemian,Hashemian
116388.haschild,,Y
187935.lname,Pafu,Pfau
117812.statevalue,KA,AK
51634.lname,Gnaidy,Gniady
45141.phone,x762-5381,762-5381
184350.lname,Klloufi,Kalloufi
186931.gender,***,M
144083.fname,wKristinn,Kristinn
64523.gender,,F
3051.zip,78521.0,39819
196781.statevalue,KA,AK
108959.fname,Rafacil,Rafail
133434.fname,Olni,Olin
167886.maritalstatus,jM,M
191522.phone,999-9y283,999-9283
81534.phone,95-6602,495-6602
111672.gender,,M
54174.gender,***,M
85796.phone,19i0-3343,190-3343
119008.gender,,F
109440.gender,***,M
17230.gender,***,F
159540.statevalue,IW,WI
169502.statevalue,KA,AK
62478.haschild,,N
189027.haschild,***,N
4689.fname,Xiangning,Ingbert
146430.statevalue,L,AL
151182.haschild,,N
103559.phone,969-4102,969-1402
136566.lname,hZizka,Zizka
153646.maritalstatus,zS,S
92594.haschild,***,N
119025.gender,,M
56462.statevalue,A,MA
188718.fname,wBenedikt,Benedikt
166324.haschild,oY,Y
95214.phone,472-5031,472-5013
155317.lname,Bregher,Bergher
194886.phone,980-764,980-7764
21012.statevalue,AwR,AR
92726.fname,lAf,Alf
177205.gender,***,M
56545.city,WASHINTGON,WASHINGTON
168945.lname,iMikov,Mikov
163722.statevalue,AlK,AK
26764.maritalstatus,hM,M
107544.gender,***,F
81383.statevalue,AG,GA
5646.fname,Nik,Zhanqiu
182259.fname,Faouk,Farouk
107911.gender,,M
169743.fname,nni,Anni
9746.maritalstatus,,M
186425.haschild,***,Y
60869.haschild,***,Y
150034.city,PONEC,PONCE
2683.zip,54121.0,63740
133171.gender,***,F
49988.city,ILLETTE,GILLETTE
126135.maritalstatus,***,M
37694.statevalue,T,CT
196359.phone,p426-6007,426-6007
73835.haschild,,Y
50746.haschild,***,N
131278.lname,Tokagi,Tokai
89848.lname,Howbgood,Hobgood
122952.statevalue,K,AK
134424.maritalstatus,nS,S
26706.gender,***,F
105061.phone,08-8179,708-8179
154918.city,BEAUMaONT,BEAUMONT
98720.statevalue,NrV,NV
81377.maritalstatus,***,M
26740.gender,***,F
108530.haschild,kN,N
127001.statevalue,AbK,AK
168836.phone,944-428,944-4528
178116.gender,***,F
155838.lname,hBeug,Beug
134498.lname,Capuua,Capua
7023.fname,Rafafele,Raffaele
196753.maritalstatus,***,M
171658.statevalue,I,MI
116666.statevalue,KA,AK
16599.city,CATNON,CANTON
65591.fname,TuaBo,TuBao
74604.fname,Tomoa,Tomoya
26121.statevalue,MoD,MD
115581.maritalstatus,,M
151087.lname,Watutm,Wattum
82238.maritalstatus,,M
136181.maritalstatus,***,S
4089.zip,1907.0,18066
89536.haschild,,Y
43979.statevalue,hRI,RI
32764.gender,,F
13481.haschild,lY,Y
169916.haschild,***,Y
97038.gender,,F
161199.city,CHEENNE,CHEYENNE
84498.statevalue,S,KS
965.fname,Sudhanshu,Conrado
90571.gender,,F
199566.gender,***,F
68417.phone,86-38017,863-8017
135603.fname,Gciang,Giang
136475.haschild,***,N
195135.phone,115a-7303,115-7303
147052.phone,477-6249,477-6429
135397.city,DES MOINSE,DES MOINES
115550.gender,eM,M
198612.city,KE YCOLONY BEACH,KEY COLONY BEACH
4912.areacode,702.0,612
61375.statevalue,AtK,AK
157266.fname,ael,Wael
179457.phone,f108-2479,108-2479
3144.lname,Preez,Perez
50360.phone,758-716,758-7136
125723.statevalue,KA,AK
137122.fname,Cornelifa,Cornelia
197608.haschild,,N
122274.phone,3p94-8727,394-8727
84112.statevalue,nWA,WA
123869.phone,384-16x89,384-1689
57401.haschild,,Y
138717.city,JEFFERSNVILLE,JEFFERSONVILLE
1121.zip,54121.0,47385
5116.lname,Mitttasch,Mittasch
82887.maritalstatus,***,M
83143.phone,450-1955,450-9155
2424.phone,44-2278,644-2278
193733.fname,Timm***,Timm
12785.statevalue,sME,ME
124383.lname,oveland,Loveland
50596.statevalue,KdS,KS
25016.haschild,,Y
87271.city,DOALN SPRINGS,DOLAN SPRINGS
196864.fname,Hyeyouhng,Hyeyoung
24277.statevalue,A,WA
56803.gender,sF,F
59676.statevalue,KA,AK
127071.city,WETS PALM BEACH,WEST PALM BEACH
154584.haschild,,N
172841.city,PwARMA,PARMA
78556.maritalstatus,,S
44155.statevalue,K,AK
32273.fname,Kallrui,Kalluri
107559.maritalstatus,,M
23460.lname,Anggele,Angele
156457.fname,Msaatsugu,Masatsugu
89506.haschild,***,N
136521.statevalue,AvK,AK
81269.haschild,,N
67859.city,SCRANON,SCRANTON
136634.phone,r787-6553,787-6553
16430.city,PTKIN,PITKIN
79298.phone,829-698,829-6798
83251.maritalstatus,,S
48565.lname,Ledeiov,Ledeniov
182410.lname,Zjlatin,Zlatin
25965.statevalue,IR,RI
8255.city,ULSA,TULSA
3944.zip,72640.0,92412
28382.fname,ilford,Gilford
88486.gender,gM,M
84340.haschild,***,N
114143.phone,468-g4585,468-4585
16628.lname,Wtatum,Wattum
84182.statevalue,X,TX
146318.lname,andle,Yandle
116530.haschild,,Y
183670.city,ERNTZ,RENTZ
170513.fname,yNikil,Nikil
196288.lname,Beuin,Beguin
122134.haschild,xY,Y
63125.haschild,***,N
152381.lname,Buchniger,Buchinger
84281.fname,Jgesh,Jagesh
29098.city,PNCE,PONCE
182466.phone,85-41253,854-1253
996.zip,78521.0,70525
15847.lname,mMurtha,Murtha
54222.haschild,jY,Y
127894.haschild,,Y
154063.maritalstatus,jM,M
142680.maritalstatus,,S
61979.gender,,M
199017.gender,kF,F
119943.fname,Bangqinmg,Bangqing
122314.city,BLANOC,BLANCO
104536.statevalue,Y,KY
106802.gender,***,M
50918.phone,269-5726,269-5762
176906.haschild,,N
92464.statevalue,pAK,AK
135667.lname,Bogeh,Boegh
132663.maritalstatus,***,S
2053.areacode,862.0,225
148556.maritalstatus,***,M
89289.city,THORAU,THOREAU
137914.haschild,***,N
129845.phone,197-5112***,197-5112
141984.fname,aCrlos,Carlos
153458.haschild,,N
37808.gender,,F
192657.city,EDISTO SILAND,EDISTO ISLAND
47033.maritalstatus,mM,M
72794.city,BALDIN,BALDWIN
101459.maritalstatus,***,S
7343.areacode,702.0,716
142435.phone,557-5450,575-5450
188070.phone,490-6721,490-6712
41774.lname,Noonan***,Noonan
113525.haschild,***,N
3529.zip,8203.0,29072
180814.fname,Masamisu,Masamitsu
149490.maritalstatus,aS,S
175492.city,KENmSINGTON,KENSINGTON
1035.zip,72640.0,66095
139753.haschild,zN,N
1513.zip,89140.0,2911
84217.haschild,mN,N
34946.haschild,***,Y
41931.city,WAHSINGTON,WASHINGTON
35912.haschild,uY,Y
185268.fname,Joangwon,Jongwon
2881.city,FRENCHBOOR,FRENCHBORO
154238.statevalue,KA,AK
34978.fname,ahi,Zahi
20938.maritalstatus,pM,M
18547.haschild,,Y
48150.fname,Hqongyi,Hongyi
6574.haschild,***,N
80301.lname,Bickord,Bickford
17213.fname,Hlilel,Hillel
153714.gender,,M
178000.gender,,F
140424.statevalue,H,NH
31586.statevalue,gKY,KY
170457.city,CIAdLES,CIALES
99771.gender,pM,M
146291.city,KERNEeRSVILLE,KERNERSVILLE
181534.statevalue,N,TN
1624.zip,78521.0,34450
107102.maritalstatus,uS,S
101060.fname,Vkas,Vikas
1451.zip,54121.0,2359
74584.statevalue,HlI,HI
145442.city,IPKEVILLE,PIKEVILLE
137478.statevalue,AV,VA
30526.gender,,M
26391.fname,Rslan,Ruslan
54323.statevalue,N,TN
80895.phone,58-7670,258-7670
144353.gender,***,M
165513.gender,cM,M
4166.fname,Hovav,Sahibsingh
38061.phone,537-2903,537-2930
1465.zip,72640.0,97123
100954.statevalue,C,NC
135728.maritalstatus,***,S
4072.fname,Belen,Sadasaburoh
116974.city,CAUAS,CAGUAS
169837.maritalstatus,jS,S
161390.haschild,***,Y
108628.city,LASMARIAS,LAS MARIAS
131030.statevalue,AI,IA
124488.phone,83-4435,183-4435
9696.statevalue,SM,MS
190547.gender,,M
3107.zip,54121.0,35486
101079.lname,oGil,Goil
191952.statevalue,AwK,AK
180868.lname,Shiabsaki,Shibasaki
127411.fname,Mitsuhro,Mitsuho
30876.gender,,M
35060.lname,Aers,Ayers
54073.gender,,M
6039.fname,Kazuhio,Kazuhito
107845.phone,371-830,371-8380
60556.maritalstatus,,S
33552.phone,b233-3147,233-3147
25944.statevalue,JN,NJ
59071.fname,Fracoise,Francoise
183777.maritalstatus,,S
153967.city,VEA ALTA,VEGA ALTA
64027.maritalstatus,,M
2297.zip,8203.0,85255
171901.lname,Puetrman,Puterman
157012.lname,Eorl,Erol
166033.lname,atil,Latil
54541.phone,82-4105,282-4105
24783.haschild,***,Y
109329.statevalue,O,CO
116637.maritalstatus,***,S
2698.zip,89140.0,72740
57820.statevalue,KA,AK
43282.phone,794j-7803,794-7803
16947.statevalue,MN,NM
92307.phone,20-7250,920-7250
103863.statevalue,R,AR
185717.lname,Mutha,Murtha
145686.statevalue,X,TX
93120.city,WSEETWATER,SWEETWATER
198947.statevalue,MbT,MT
140669.gender,***,M
155198.maritalstatus,***,M
34971.fname,Elpod,Elod
105680.statevalue,XT,TX
43696.statevalue,EM,ME
183866.gender,***,M
66634.haschild,***,N
145936.gender,***,F
174464.city,AMYAGUEZ,MAYAGUEZ
91253.lname,bAerg,Aberg
582.phone,977-483t6,977-4836
119603.fname,Chagnsik,Changsik
135721.lname,Mhiara,Mihara
120245.fname,Pzrabakar,Prabakar
105618.maritalstatus,mM,M
146748.haschild,,Y
520.zip,54121.0,87119
121478.phone,931-614,931-6014
194338.city,BRANFOD,BRANFORD
136179.lname,Scpinich,Scopinich
347.areacode,501.0,207
88492.maritalstatus,rS,S
78970.phone,2544658,254-4658
158854.haschild,,Y
85155.lname,Frauensein,Frauenstein
101985.fname,hulwoo,Chulwoo
54336.statevalue,NdM,NM
136858.maritalstatus,kM,M
114397.haschild,,N
12579.lname,Retgtelbach,Rettelbach
168905.gender,***,M
168514.gender,zF,F
93435.gender,,M
140200.city,QEBRADILLAS,QUEBRADILLAS
1382.fname,Belen,Ursula
197853.maritalstatus,***,M
17456.gender,,M
2405.zip,89140.0,38332
137109.fname,Brok,Brook
69844.statevalue,C,SC
37539.haschild,***,Y
81650.city,POATELLO,POCATELLO
104993.statevalue,UgT,UT
185033.lname,Roijakkkers,Roijakkers
87798.maritalstatus,,S
25139.lname,Jungamnn,Jungmann
31129.lname,Gajiwlaa,Gajiwala
3687.areacode,862.0,504
173966.fname,Tmaer,Tamer
4345.zip,54121.0,33339
114215.fname,Lonnei,Lonnie
178289.phone,95x2-3111,952-3111
40349.lname,iReischert,Reischert
63524.statevalue,C,NC
46486.haschild,***,Y
193723.statevalue,AP,PA
166966.lname,aqua,Laqua
175755.haschild,tY,Y
178003.maritalstatus,,M
167920.city,SAHLAND,ASHLAND
4460.zip,1907.0,4742
152403.maritalstatus,,S
145234.haschild,nY,Y
11245.maritalstatus,,M
165838.haschild,***,Y
77278.city,CANOD,CANDO
24648.phone,14-2617,814-2617
190040.phone,84-3973,804-3973
61616.haschild,***,N
129423.maritalstatus,iM,M
65007.maritalstatus,***,S
7185.statevalue,AG,GA
138134.fname,Khevdija,Khedija
3095.areacode,862.0,803
189174.statevalue,EM,ME
137027.statevalue,vPA,PA
29593.maritalstatus,***,S
157530.haschild,,N
77026.phone,46-14416,461-4416
186570.haschild,***,Y
61567.maritalstatus,,M
166475.gender,rM,M
31590.fname,Vempaal,Vempala
149712.statevalue,tMA,MA
40567.fname,Agnthony,Anthony
3142.lname,Federicco,Federico
57506.lname,hCeriyan,Cheriyan
198733.haschild,fY,Y
4112.zip,1907.0,41766
48612.lname,Midelfatr,Midelfart
188361.lname,Lazcaro,Lazaro
42628.maritalstatus,***,M
28555.phone,67-8632,167-8632
95002.haschild,nY,Y
85761.haschild,,Y
53518.lname,Ngufio,Nguifo
136842.statevalue,E,NE
8744.fname,inlin,Linlin
109282.city,BIG BEDN,BIG BEND
162934.statevalue,TnN,TN
44031.phone,40-9174,480-9174
25534.haschild,,N
95464.lname,Ezeyr,Ezer
123332.statevalue,OeR,OR
130271.haschild,***,Y
149641.gender,yF,F
156780.gender,***,F
33704.statevalue,M,NM
48594.statevalue,KA,AK
132281.fname,Menea,Meena
165696.phone,9i62-3833,962-3833
146309.gender,,F
156545.lname,delhoff,Edelhoff
31008.city,NAoHMA,NAHMA
18179.haschild,,Y
175885.city,CLYTON,CLAYTON
5938.areacode,501.0,202
43999.gender,wM,M
67121.maritalstatus,***,S
50610.maritalstatus,***,M
151658.phone,992-752,992-7542
95217.haschild,,Y
4390.areacode,501.0,843
92661.city,GRAROCHALES,GARROCHALES
175932.lname,Vassaallo,Vassallo
148587.gender,,F
79823.maritalstatus,,S
175624.city,ACGUAS,CAGUAS
54078.maritalstatus,jM,M
99934.city,LMOAN,LOMAN
87413.statevalue,uAK,AK
53767.lname,li,Ali
19964.city,WINDSRO,WINDSOR
33384.city,BOSTN,BOSTON
415.fname,Nik,Magnus
183040.maritalstatus,***,M
89304.city,LANLGOIS,LANGLOIS
71628.lname,Zingoin,Zingoni
84925.statevalue,SK,KS
41758.gender,pF,F
125646.statevalue,RO,OR
130170.haschild,***,Y
67969.phone,172-2429,172-2492
28031.haschild,,N
5403.city,RTESIA,ARTESIA
111258.gender,,M
172004.haschild,gN,N
186120.gender,***,F
27083.city,AN JOSE,SAN JOSE
151926.statevalue,AtK,AK
33338.city,FRANxKLIN,FRANKLIN
8976.gender,nM,M
179722.maritalstatus,***,S
4438.zip,89140.0,83638
151269.fname,Efthymiots,Efthymios
138946.statevalue,MN,NM
6524.fname,Nik,Toniann
92788.lname,Zimmemrann,Zimmermann
187684.statevalue,AbK,AK
74879.fname,Harwod,Harwood
107857.fname,zBianca,Bianca
131116.maritalstatus,***,M
3205.zip,72640.0,57752
142970.lname,Dowggaz,Doggaz
179839.lname,Haasje,Haase
75499.city,KALSAKG,KALSKAG
76106.haschild,iN,N
162120.lname,Mienel,Meinel
189588.statevalue,KO,OK
66781.lname,Edmundison,Edmundson
61084.statevalue,K,OK
106771.maritalstatus,oS,S
188019.gender,,M
176366.maritalstatus,,S
9465.gender,uF,F
142346.maritalstatus,,M
102240.phone,334-5522***,334-5522
179730.haschild,***,Y
63016.city,AeGUAS BUENAS,AGUAS BUENAS
28446.gender,***,F
169795.statevalue,K,AK
127679.city,MISSISiSIPPI STATE,MISSISSIPPI STATE
36895.fname,Pierpolo,Pierpaolo
103325.phone,c653-5501,653-5501
76721.city,AZLINI,NAZLINI
79138.fname,oSuad,Souad
85039.gender,,M
155938.city,STILwLWATER,STILLWATER
75033.statevalue,AM,MA
120825.statevalue,D,SD
199168.maritalstatus,,S
67643.gender,,M
58955.statevalue,VwT,VT
80588.lname,attrall,Cattrall
2282.city,FORTVILE,FORTVILLE
96300.phone,672-7353,672-7335
14585.maritalstatus,***,S
50179.city,HOHENWADL,HOHENWALD
67606.lname,Diefedorff,Diefendorff
157314.haschild,,Y
153062.statevalue,K,AK
158987.haschild,,Y
153182.lname,Iwaatni,Iwatani
119592.fname,Bermnad,Bernad
93576.haschild,***,Y
103068.phone,513-2275,513-2257
114671.city,ABO ROJO,CABO ROJO
128719.statevalue,X,TX
34064.city,AFIRBANK,FAIRBANK
74030.city,AIBOzNITO,AIBONITO
196509.gender,,M
19470.lname,rman,Erman
26370.city,GLN,GLEN
2483.areacode,702.0,302
183111.city,ASHpAWAY,ASHAWAY
30891.statevalue,wFL,FL
187333.city,GRgANT,GRANT
4135.lname,Guteari,Guetari
168552.city,zMAYAGUEZ,MAYAGUEZ
50606.statevalue,MpN,MN
162091.maritalstatus,***,M
142774.fname,Hollay,Holly
134390.city,STOCTKON,STOCKTON
109166.gender,wF,F
72673.lname,larysse,Clarysse
39205.gender,***,M
158914.city,bHONOLULU,HONOLULU
140724.city,WASHINGTNO,WASHINGTON
196006.lname,Caciofini,Carciofini
138662.lname,erbster,Herbster
78036.gender,***,F
19265.fname,Timno,Timon
156770.phone,728-4r825,728-4825
132486.gender,vF,F
40353.gender,***,F
61426.gender,***,F
159315.maritalstatus,***,S
42787.haschild,bN,N
55691.gender,,M
142189.fname,Dewnny,Denny
110942.gender,,F
153951.phone,g365-6253,365-6253
71403.statevalue,K,AK
72149.haschild,mN,N
9416.phone,56-2004,956-2004
462.fname,Belen,Jamshed
136615.fname,Ktabekode,Kabekode
152678.haschild,***,Y
153406.statevalue,NtY,NY
16266.phone,293-810a0,293-8100
97603.gender,wM,M
171998.city,GAUNICA,GUANICA
34927.lname,bTaniar,Taniar
124931.maritalstatus,***,M
695.zip,8203.0,37134
119151.phone,833-52g90,833-5290
118912.statevalue,IrL,IL
108701.maritalstatus,,S
112.areacode,501.0,509
90617.fname,ugo,Mugo
76656.statevalue,M,NM
131151.phone,77-8379,877-8379
85798.lname,Baggiolixni,Baggiolini
171362.city,HOUTSON,HOUSTON
102944.phone,48-4217,482-4217
63543.city,SANy JOSE,SAN JOSE
90595.gender,,F
3791.zip,72640.0,38554
78950.maritalstatus,dS,S
31.zip,20226.0,39667
188866.city,ACHORAGE,ANCHORAGE
4052.zip,1907.0,97443
24963.statevalue,HN,NH
1183.zip,20226.0,5490
51416.fname,Joquim,Joaquim
46485.maritalstatus,tS,S
34789.phone,382-434r2,382-4342
85477.lname,Hellnd,Helland
156284.statevalue,rTN,TN
44695.city,ANCHORpAGE,ANCHORAGE
105850.city,PPEEEKEO,PEPEEKEO
6270.phone,433-63z78,433-6378
59970.phone,837-558g1,837-5581
144377.maritalstatus,wS,S
125690.phone,105-640w8,105-6408
46732.city,KINGAN,KINGMAN
54353.gender,***,M
99691.statevalue,PaR,PR
170668.fname,Gpene,Gene
151880.lname,Tchuene,Tchuente
98311.lname,Aerins,Amerins
123179.fname,Yijusn,Yijun
37239.fname,amilo,Camilo
139157.fname,Sagjin,Sangjin
149081.maritalstatus,,M
7740.lname,Pxroietti,Proietti
29513.statevalue,TM,MT
100261.city,BLACKTONE,BLACKSTONE
149598.lname,Ueio,Uejio
33553.fname,Jwasmina,Jasmina
11824.phone,718-833,718-8833
139053.gender,bM,M
44995.fname,ane,Dane
33702.fname,Teruhidko,Teruhiko
2443.maritalstatus,zS,S
38375.lname,Raya,Rayna
98540.city,FUTON,FULTON
61461.haschild,jN,N
183804.gender,***,F
81853.phone,5205194,520-5194
178140.gender,,M
123798.phone,446-4912,446-4921
131075.maritalstatus,hM,M
146875.fname,uuk,Luuk
168987.city,GANT,GRANT
106828.lname,Rvoeri,Roveri
163502.city,HOLrDEN,HOLDEN
35542.fname,aYsushi,Yasushi
72084.statevalue,MqN,MN
100942.haschild,,Y
109513.statevalue,EM,ME
193516.city,WES THARTFORD,WEST HARTFORD
760.statevalue,RA,AR
55340.lname,Roucarol,Roucairol
197161.phone,l323-3305,323-3305
192044.lname,yTherber,Therber
7719.areacode,501.0,918
36945.fname,utz,Lutz
3473.zip,89140.0,84035
3674.areacode,501.0,205
96722.fname,Tsugou,Tsuguo
158316.gender,,F
133806.fname,Annay,Anany
67084.lname,Stret,Stroet
100216.maritalstatus,***,S
125220.city,OFUNTAIN RUN,FOUNTAIN RUN
31184.statevalue,R,AR
99456.lname,oRuth,Routh
173589.maritalstatus,dM,M
93437.phone,80-1724,808-1724
65548.statevalue,RP,PR
129809.statevalue,kNE,NE
100172.fname,Trye,Tyre
24346.statevalue,D,MD
199953.fname,Ilam,Ilham
26062.city,DNVER,DENVER
114559.city,WASHINGTNO,WASHINGTON
12361.city,CHULAAR,CHUALAR
128752.lname,wSpira,Spira
3073.zip,89140.0,2842
16351.lname,urdock,Murdock
135447.maritalstatus,***,S
139922.haschild,***,Y
1142.fname,Belen,Rodion
53003.fname,Ezrja,Ezra
83976.phone,429-8955,249-8955
78317.gender,,F
144012.maritalstatus,***,M
78225.city,ODRADO,DORADO
158124.city,HIXTNO,HIXTON
8302.fname,Aagtha,Agatha
173285.lname,sKoiso,Koiso
160694.lname,Doto,Doo
47213.phone,685-74j89,685-7489
158027.fname,Poflly,Polly
82788.statevalue,X,TX
132861.gender,***,F
145487.statevalue,AlK,AK
23339.gender,***,M
195818.gender,oF,F
193351.city,SABAN GRANDE,SABANA GRANDE
138912.maritalstatus,,S
31795.phone,n824-8794,824-8794
120258.fname,Peech,Pesech
7595.fname,Hovav,Olivia
99652.lname,Mulkesr,Mulkers
88650.statevalue,KA,AK
8619.phone,g708-7830,708-7830
22511.lname,Lowribe,Lowrie
25303.maritalstatus,,S
146577.phone,4595248,459-5248
141252.phone,60-8915,608-8915
118619.city,KANSAS CsITY,KANSAS CITY
172731.haschild,,N
108299.maritalstatus,,S
23455.fname,Mrinbal,Mrinal
51823.city,ATTIA,ATTICA
45792.fname,Yaghot,Yaghout
41940.phone,190-7448,190-7484
89206.lname,Swfeazey,Sweazey
164096.gender,wM,M
12462.city,DEOTTE,DEMOTTE
55734.haschild,***,N
89259.maritalstatus,vM,M
61785.city,HITE HOUSE,WHITE HOUSE
107248.lname,uBx,Bux
42779.maritalstatus,***,S
116343.gender,,F
129420.haschild,iN,N
47697.gender,,F
624.phone,259-88t28,259-8828
2251.maritalstatus,,S
94386.statevalue,A,GA
106591.maritalstatus,***,S
173537.haschild,,N
190935.fname,iDmitris,Dimitris
74143.gender,,F
38082.phone,7219-540,721-9540
126572.statevalue,KA,AK
3507.areacode,501.0,208
118787.haschild,***,N
93958.statevalue,lKY,KY
168924.statevalue,CN,NC
12375.gender,***,F
123168.haschild,gY,Y
51.areacode,702.0,406
198637.lname,tSandak,Sandak
16863.gender,***,F
57004.phone,15-1568,150-1568
69727.haschild,rN,N
74184.maritalstatus,,M
73385.fname,Kaen,Karen
176358.statevalue,SbC,SC
70656.fname,Naime,Naiem
7767.fname,Jyhyeeung,Jyhyeung
76322.statevalue,RA,AR
172147.fname,Wieslw,Wieslaw
147386.city,ARRfOYO,ARROYO
132789.gender,yF,F
120347.maritalstatus,rM,M
179635.maritalstatus,***,S
1637.zip,89140.0,57214
74795.fname,Fumyiasu,Fumiyasu
55432.gender,tF,F
76838.haschild,***,Y
58694.city,GUANYABO,GUAYNABO
45881.gender,***,M
118221.city,MAPLEViILLE,MAPLEVILLE
49298.lname,Habusch,Harbusch
79633.phone,197-354,197-3854
17166.maritalstatus,***,M
132504.gender,***,M
176158.phone,345-4073,435-4073
108886.gender,fM,M
559.fname,Xiangning,Rogelio
93738.gender,oM,M
95923.city,HONLULU,HONOLULU
142096.lname,Hackbos,Hackos
183990.city,MAYGAUEZ,MAYAGUEZ
186.zip,8203.0,37699
68207.fname,Xihoa,Xihao
94326.city,BOwQUERON,BOQUERON
71453.lname,udovice,Ludovice
52620.statevalue,TwX,TX
63410.phone,96-95003,969-5003
14096.gender,***,M
54496.lname,Basazrt,Basart
144665.lname,Dostall,Dostal
159487.city,VEO BEACH,VERO BEACH
153438.phone,402-3248,402-2348
188117.maritalstatus,***,M
130544.phone,535-9870,535-9807
195904.haschild,***,N
17816.fname,Miuzho,Mizuho
122163.statevalue,OM,MO
199397.haschild,***,Y
45779.lname,Pdostiff,Postiff
15782.fname,Yitzhk,Yitzhak
144585.city,FLOWERE,FLOWEREE
139691.lname,Ldeela,Leela
45933.gender,iM,M
141441.statevalue,K,AK
74119.maritalstatus,,S
32960.lname,inot,Minot
4431.zip,72640.0,99778
117085.lname,Atndroutsos,Androutsos
37645.gender,,F
116573.haschild,vY,Y
146709.maritalstatus,bM,M
123025.statevalue,Z,AZ
161293.phone,150-862,150-8662
64703.lname,Cmpagnoni,Campagnoni
137000.fname,eki,Zeki
67450.lname,Benicvenga,Bencivenga
683.zip,78521.0,58486
25832.lname,Schnbel,Schnabel
20199.city,MIDDLEBRUG,MIDDLEBURG
116722.maritalstatus,,S
114325.lname,Estevles,Esteves
69952.maritalstatus,***,S
9913.phone,301-581u6,301-5816
193949.maritalstatus,zM,M
1024.zip,89140.0,80733
170878.gender,,F
156843.maritalstatus,***,M
3252.zip,8203.0,39407
85892.haschild,***,N
3615.zip,89140.0,85076
73433.gender,***,M
56126.maritalstatus,,S
21753.fname,itsuhide,Mitsuhide
58013.statevalue,wCA,CA
101327.statevalue,aOR,OR
130786.city,GbRANTSDALE,GRANTSDALE
98401.maritalstatus,eS,S
128869.haschild,aY,Y
50425.statevalue,HO,OH
198174.city,AMANDA APRK,AMANDA PARK
74523.fname,iBndu,Bindu
116664.city,ASHINGTON,WASHINGTON
45535.maritalstatus,nM,M
1861.areacode,702.0,843
154625.lname,aBde,Bade
103357.statevalue,K,AK
183796.phone,70y5-7002,705-7002
142015.statevalue,K,AK
193058.city,WILMINGlTON,WILMINGTON
97195.haschild,oN,N
129305.haschild,,Y
40759.haschild,,N
6981.lname,Canadn,Candan
168075.haschild,***,N
63988.lname,Hjashemian,Hashemian
188768.city,QUEENTOWN,QUEENSTOWN
64288.maritalstatus,***,S
60687.statevalue,DN,ND
174205.maritalstatus,tS,S
16428.gender,***,F
12797.maritalstatus,,S
140.zip,89140.0,87121
29229.lname,Bodgala,Bodagala
133792.haschild,jN,N
155838.maritalstatus,nM,M
149110.statevalue,AL,LA
168909.gender,hM,M
534.zip,89140.0,56748
143264.city,FOaRT LOUDON,FORT LOUDON
63683.haschild,***,Y
54458.statevalue,AsZ,AZ
175897.phone,463j-6097,463-6097
30142.fname,Ulrch,Ulrich
114451.city,HEDERSON,HENDERSON
155640.city,CENTER SSIPEE,CENTER OSSIPEE
16243.statevalue,GqA,GA
4554.zip,72640.0,84157
58619.haschild,yN,N
163549.city,SAN ANTONIuO,SAN ANTONIO
160206.maritalstatus,xM,M
48831.phone,307-7918,307-7198
112740.maritalstatus,wS,S
198670.city,AIBONTIO,AIBONITO
1573.areacode,702.0,731
57129.statevalue,K,AK
95161.haschild,***,N
186264.statevalue,zME,ME
183383.city,tBUCKLAND,BUCKLAND
8359.lname,Senzao,Senzako
126106.maritalstatus,***,M
161516.maritalstatus,,S
59278.maritalstatus,lS,S
117250.city,RECIBO,ARECIBO
83370.lname,Furnsa,Furnas
172320.phone,81-3411,381-3411
7260.phone,65-14364,651-4364
43153.phone,796-3228,796-3282
150906.gender,***,M
147897.maritalstatus,nS,S
7611.fname,Xiangning,Aino
121591.phone,29-9467,729-9467
7456.areacode,508.0,520
41654.phone,266-6650***,266-6650
147580.phone,49-95700,499-5700
181417.maritalstatus,oM,M
95300.city,SUPRIOR,SUPERIOR
57915.haschild,***,Y
161039.lname,Werry,Wherry
98825.city,MEtMPHIS,MEMPHIS
177713.fname,cChrisa,Chrisa
114418.fname,Toozng,Toong
191790.fname,Kestutsi,Kestutis
174302.maritalstatus,***,S
114582.haschild,cY,Y
34177.maritalstatus,wS,S
113742.city,LAK BENTON,LAKE BENTON
175942.statevalue,I,RI
81014.fname,Nobo,Nobuo
31228.fname,Tzushneg,Tzusheng
98053.statevalue,uWV,WV
52977.maritalstatus,***,M
8790.lname,Miqtkov,Mitkov
125521.statevalue,S,KS
55901.city,STEVISNON,STEVINSON
49667.city,TWIN BRIDEGS,TWIN BRIDGES
7620.areacode,702.0,808
5161.fname,Belen,Radhakrishnan
